environment,case,pc_firefox,pc_chrome,pc_internet explorer,android_chrome,Title,,
prod,test_0756,1,1,0,0,comscore:  live - universal with dvr,,
prod,test_0197,1,1,0,0,kaltura: VOD stats wiith user id and ks,,
prod,test_1185,1,1,0,0,kaltura: vod - single entry,,
prod,test_1186,1,1,0,0,kaltura: vod - playlist with bumper,,
prod,test_1187,0,0,0,0,kaltura: vod - freewheel ad,,
prod,test_1188,1,1,0,0,kaltura: vod - playlist,,
prod,test_1190,1,1,0,0,kaltura: vod - playlist with DFP pre mid post - leadWithFlash-false,,
prod,test_1191,1,1,0,0,kaltura: vod - playlist with vast pre mid post and overlay,,
prod,test_1192,1,1,0,0,kaltura: vod - vast midroll,,
prod,test_1193,1,1,0,0,kaltura: live - kaltura live,,
prod,test_1194,1,1,0,0,kaltura:  live - kaltura live with dvr,,
prod,test_1195,1,1,0,0,kaltura: live - universal,,
prod,test_1196,1,1,0,0,kaltura:  live - universal with dvr,,
prod,test_1197,1,1,0,0,kaltura: Midrol events not fired when track cue points disabled,,
prod,test_1924,0,0,0,0,kaltura: VOD - playlist with DFP pre mid post - leadWithFlash-true,,
prod,test_1925,1,1,0,0,kaltura: VOD - playlist playback with DFP overlay leadWithFlash-false,,
prod,test_1926,0,0,0,0,kaltura: VOD - playlist playback with DFP overlay leadWithFlash-true,,
prod,test_2566,1,1,0,0,kaltura: VOD - kaltura - iFrame embed,,
prod,test_2820,1,1,0,0,Youbora: VOD - single entry playback,,
prod,test_1336,1,1,0,0,Youbora: VOD - playlist playback,,
prod,test_1337,1,1,0,0,Youbora: VOD - playlist playback with DFP overlay,,
prod,test_1338,1,1,0,0,Youbora: VOD - playlist playback with DFP preroll / mid / postroll,,
prod,test_1335,1,1,0,0,Youbora: VOD - VAST multiple ad pods,,
prod,test_1339,1,1,0,0,Youbora: VOD - playlist playback with VAST preroll / mid / postroll / companion / overlay,,
prod,test_1340,1,1,0,0,Youbora: VOD - playback with VAST midroll,,
prod,test_2834,1,1,0,0,Youbora: VOD - bumper and playlist,,
prod,test_1356,1,1,0,0,Youbora: VOD - Audio entry,,
prod,test_1334,0,0,0,0,Youbora:  VOD - Freewheel pre roll,,
prod,test_1330,1,1,0,0,Youbora: Live playback - Kaltura live,,
prod,test_1331,1,1,0,0,Youbora: Live playback - Kaltura live with DVR,,
prod,test_1332,1,1,0,0,Youbora: Live playback - Universal live,,
prod,test_1333,1,1,0,0,Youbora: Live playback - Universal live with DVR,,
prod,test_1355,1,1,0,0,Youbora:  VOD - playlist playback with DFP adErrorEvent,,
prod,test_2877,1,1,0,0,Youbora: VOD - access control error,,
prod,test_2972,1,1,0,0,Youbora: vod - iframe embedd,,
prod,test_3080,1,1,0,0,Youbora:  Live playback - External live,,
prod,test_3081,1,1,0,0,Youbora: vod - Live playback - External live with DVR,,
prod,test_3100,1,1,0,0,Youbora: vod - VOD - VOD - single entry playback of segment,,
prod,test_3101,1,1,0,0,Youbora: vod - VOD - single entry playback of segment with autoplay,,
prod,test_1342,1,1,0,0,Youbora: vod - VOD - user actions change media,,
