case,firefox,chrome,internet explorer,Title,,
test_1925,1,1,0,kaltura: VOD - playlist playback with DFP overlay leadWithFlash-false,,
test_1926,0,0,0,kaltura: VOD - playlist playback with DFP overlay leadWithFlash-true,,
test_2566,1,1,0,kaltura: VOD - kaltura - iFrame embed,,
test_2820,1,1,0,Youbora: VOD - single entry playback,,
test_1336,1,1,0,Youbora: VOD - playlist playback,,
test_1337,1,1,0,Youbora: VOD - playlist playback with DFP overlay,,
test_1338,1,1,0,Youbora: VOD - playlist playback with DFP preroll / mid / postroll,,
test_1335,1,1,0,Youbora: VOD - VAST multiple ad pods,,
test_1339,1,1,0,Youbora: VOD - playlist playback with VAST preroll / mid / postroll / companion / overlay,,
test_1340,1,1,0,Youbora: VOD - playback with VAST midroll,,
test_2834,1,1,0,Youbora: VOD - bumper and playlist,,
test_1356,1,1,0,Youbora: VOD - Audio entry,,
test_1334,0,0,0,Youbora:  VOD - Freewheel pre roll,,
test_1330,1,1,0,Youbora: Live playback - Kaltura live,,
test_1331,1,1,0,Youbora: Live playback - Kaltura live with DVR,,
test_1332,1,1,0,Youbora: Live playback - Universal live,,
test_1333,1,1,0,Youbora: Live playback - Universal live with DVR,,
test_1355,1,1,0,Youbora:  VOD - playlist playback with DFP adErrorEvent,,
test_2877,1,1,0,Youbora: VOD - access control error,,
test_2972,1,1,0,Youbora: vod - iframe embedd,,
test_3080,1,1,0,Youbora:  Live playback - External live,,
test_3081,1,1,0,Youbora: vod - Live playback - External live with DVR,,
test_3100,1,1,0,Youbora: vod - VOD - VOD - single entry playback of segment,,
test_3101,1,1,0,Youbora: vod - VOD - single entry playback of segment with autoplay,,
test_1342,1,1,0,Youbora: vod - VOD - user actions change media,,
